epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.131,1.70906,4.11659,0.00575,0.58387,0.1873,0.19466,0.11336,1.5131,1.70781,0.00889,0.000276926,0.000276926,0.000276926
2,307.722,1.57407,2.36695,0.00512,0.43535,0.28624,0.28259,0.17108,1.46069,1.46727,0.00871,0.000499688,0.000499688,0.000499688
3,441.796,1.53182,1.68542,0.00496,0.51285,0.33968,0.33282,0.19814,1.42132,1.3453,0.00845,0.000667472,0.000667472,0.000667472
4,573.572,1.48265,1.4231,0.00474,0.57664,0.36884,0.40288,0.24352,1.40862,1.23226,0.00836,0.000585599,0.000585599,0.000585599
5,712.045,1.43632,1.28962,0.00457,0.51839,0.45583,0.45703,0.27712,1.37098,1.20558,0.00799,0.000503132,0.000503132,0.000503132
6,847.657,1.40944,1.20257,0.00448,0.54858,0.47893,0.49166,0.30101,1.33908,1.13374,0.00771,0.000420665,0.000420665,0.000420665
7,981.034,1.36483,1.1258,0.00427,0.57781,0.51961,0.55556,0.34358,1.32521,1.06315,0.00763,0.000338198,0.000338198,0.000338198
8,1115.54,1.34155,1.07514,0.00414,0.62909,0.5295,0.58499,0.3697,1.29276,1.02736,0.00741,0.000255731,0.000255731,0.000255731
9,1250.27,1.30779,1.04072,0.00402,0.67818,0.52124,0.59806,0.37936,1.26443,1.00627,0.00723,0.000173264,0.000173264,0.000173264
10,1382.84,1.28411,1.01338,0.0039,0.65211,0.53241,0.60047,0.38491,1.25301,0.99528,0.00717,9.0797e-05,9.0797e-05,9.0797e-05
